tool,th,th_class
fathmm-MKL_coding_score,0.7000000000000001,above
fathmm-MKL_coding_score,0.7500000000000001,above
fathmm-MKL_coding_score,0.8,above
fathmm-MKL_coding_score,0.8500000000000001,above
fathmm-MKL_coding_score,0.9000000000000001,above
fathmm-MKL_coding_score,0.95,above
Condel_score,0.05,above
Condel_score,0.1,above
Condel_score,0.15000000000000002,above
Condel_score,0.2,above
Condel_score,0.25,above
Condel_score,0.3,above
Condel_score,0.35000000000000003,above
Condel_score,0.4,above
Condel_score,0.45,above
Condel_score,0.5,above
Condel_score,0.55,above
Condel_score,0.6000000000000001,above
Condel_score,0.6500000000000001,above
Condel_score,0.7000000000000001,above
Condel_score,0.7500000000000001,above
Condel_score,0.8,above
Condel_score,0.8500000000000001,above
Condel_score,0.9000000000000001,above
Condel_score,0.95,above
Condel_score,0.49,above
MetaLR_score,0.05,above
MetaLR_score,0.1,above
MetaLR_score,0.15000000000000002,above
MetaLR_score,0.2,above
MetaLR_score,0.25,above
MetaLR_score,0.3,above
MetaLR_score,0.35000000000000003,above
MetaLR_score,0.4,above
MetaLR_score,0.45,above
MetaLR_score,0.5,above
MetaLR_score,0.55,above
MetaLR_score,0.6000000000000001,above
MetaLR_score,0.6500000000000001,above
MetaLR_score,0.7000000000000001,above
MetaLR_score,0.7500000000000001,above
MetaLR_score,0.8,above
MetaLR_score,0.8500000000000001,above
MetaLR_score,0.9000000000000001,above
MetaLR_score,0.95,above
GERP++_RS,-10.5,above
GERP++_RS,-9.63,above
GERP++_RS,-8.75,above
GERP++_RS,-7.88,above
GERP++_RS,-7,above
GERP++_RS,-6.13,above
GERP++_RS,-5.25,above
GERP++_RS,-4.38,above
GERP++_RS,-3.5,above
GERP++_RS,-2.63,above
GERP++_RS,-1.76,above
GERP++_RS,-0.88,above
GERP++_RS,-0.01,above
GERP++_RS,0.87,above
GERP++_RS,1.74,above
GERP++_RS,2.62,above
GERP++_RS,3.49,above
GERP++_RS,4.37,above
GERP++_RS,5.24,above
GERP++_RS,0,above
Eigen-PC-phred_coding,0,above
Eigen-PC-phred_coding,0.93,above
Eigen-PC-phred_coding,1.87,above
Eigen-PC-phred_coding,2.8,above
Eigen-PC-phred_coding,3.73,above
Eigen-PC-phred_coding,4.67,above
Eigen-PC-phred_coding,5.6,above
Eigen-PC-phred_coding,6.53,above
Eigen-PC-phred_coding,7.47,above
Eigen-PC-phred_coding,8.4,above
Eigen-PC-phred_coding,9.33,above
Eigen-PC-phred_coding,10.27,above
Eigen-PC-phred_coding,11.2,above
Eigen-PC-phred_coding,12.13,above
Eigen-PC-phred_coding,13.07,above
Eigen-PC-phred_coding,14,above
Eigen-PC-phred_coding,14.93,above
Eigen-PC-phred_coding,15.87,above
Eigen-PC-phred_coding,16.8,above
Eigen-PC-phred_coding,9,above
BayesDel_addAF_score,-0.34,above_closed
BayesDel_addAF_score,-0.29,above_closed
BayesDel_addAF_score,-0.24,above_closed
BayesDel_addAF_score,-0.18,above_closed
BayesDel_addAF_score,-0.13,above_closed
BayesDel_addAF_score,-0.08,above_closed
BayesDel_addAF_score,-0.03,above_closed
BayesDel_addAF_score,0.03,above_closed
BayesDel_addAF_score,0.08,above_closed
BayesDel_addAF_score,0.13,above_closed
BayesDel_addAF_score,0.18,above_closed
BayesDel_addAF_score,0.23,above_closed
BayesDel_addAF_score,0.29,above_closed
BayesDel_addAF_score,0.34,above_closed
BayesDel_addAF_score,0.39,above_closed
BayesDel_addAF_score,0.44,above_closed
BayesDel_addAF_score,0.5,above_closed
BayesDel_addAF_score,0.55,above_closed
BayesDel_addAF_score,0.6,above_closed
BayesDel_addAF_score,0.0692655,above_closed
FATHMM_score_seperated,-7.54,below_closed
FATHMM_score_seperated,-7.22,below_closed
FATHMM_score_seperated,-6.9,below_closed
FATHMM_score_seperated,-6.58,below_closed
FATHMM_score_seperated,-6.26,below_closed
FATHMM_score_seperated,-5.94,below_closed
FATHMM_score_seperated,-5.62,below_closed
FATHMM_score_seperated,-5.3,below_closed
FATHMM_score_seperated,-4.98,below_closed
FATHMM_score_seperated,-4.66,below_closed
FATHMM_score_seperated,-4.35,below_closed
FATHMM_score_seperated,-4.03,below_closed
FATHMM_score_seperated,-3.71,below_closed
FATHMM_score_seperated,-3.39,below_closed
FATHMM_score_seperated,-3.07,below_closed
FATHMM_score_seperated,-2.75,below_closed
FATHMM_score_seperated,-2.43,below_closed
FATHMM_score_seperated,-2.11,below_closed
FATHMM_score_seperated,-1.79,below_closed
FATHMM_score_seperated,-1.5,below_closed
MutationAssessor_standalone_score,-1.88,above
MutationAssessor_standalone_score,-1.51,above
MutationAssessor_standalone_score,-1.14,above
MutationAssessor_standalone_score,-0.78,above
MutationAssessor_standalone_score,-0.41,above
MutationAssessor_standalone_score,-0.04,above
MutationAssessor_standalone_score,0.33,above
MutationAssessor_standalone_score,0.69,above
MutationAssessor_standalone_score,1.06,above
MutationAssessor_standalone_score,1.43,above
MutationAssessor_standalone_score,1.8,above
MutationAssessor_standalone_score,2.17,above
MutationAssessor_standalone_score,2.53,above
MutationAssessor_standalone_score,2.9,above
MutationAssessor_standalone_score,3.27,above
MutationAssessor_standalone_score,3.64,above
MutationAssessor_standalone_score,4,above
MutationAssessor_standalone_score,4.37,above
MutationAssessor_standalone_score,4.74,above
MutationAssessor_standalone_score,1.935,above
PROVEAN_score_seperated,-12.66,below_closed
PROVEAN_score_seperated,-11.83,below_closed
PROVEAN_score_seperated,-11,below_closed
PROVEAN_score_seperated,-10.17,below_closed
PROVEAN_score_seperated,-9.34,below_closed
PROVEAN_score_seperated,-8.51,below_closed
PROVEAN_score_seperated,-7.68,below_closed
PROVEAN_score_seperated,-6.85,below_closed
PROVEAN_score_seperated,-6.02,below_closed
PROVEAN_score_seperated,-5.19,below_closed
PROVEAN_score_seperated,-4.35,below_closed
PROVEAN_score_seperated,-3.52,below_closed
PROVEAN_score_seperated,-2.69,below_closed
PROVEAN_score_seperated,-1.86,below_closed
PROVEAN_score_seperated,-1.03,below_closed
PROVEAN_score_seperated,-0.2,below_closed
PROVEAN_score_seperated,0.63,below_closed
PROVEAN_score_seperated,1.46,below_closed
PROVEAN_score_seperated,2.29,below_closed
PROVEAN_score_seperated,-2.5,below_closed
CADD_PHRED,0,above
CADD_PHRED,2.61,above
CADD_PHRED,5.22,above
CADD_PHRED,7.83,above
CADD_PHRED,10.44,above
CADD_PHRED,13.06,above
CADD_PHRED,15.67,above
CADD_PHRED,18.28,above
CADD_PHRED,20.89,above
CADD_PHRED,23.5,above
CADD_PHRED,26.11,above
CADD_PHRED,28.72,above
CADD_PHRED,31.33,above
CADD_PHRED,33.94,above
CADD_PHRED,36.56,above
CADD_PHRED,39.17,above
CADD_PHRED,41.78,above
CADD_PHRED,44.39,above
CADD_PHRED,47,above
